order_id,order_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,sales,quantity,profit
US-2019-834404,2019-01-07,Vivek Sundaresam,Acco,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Consumer,Office Supplies,Binders,Central,77340,Huntsville,Texas,10.43,7,-18.2525
US-2019-373464,2019-01-09,Melanie Seite,Newell,Newell 312,Consumer,Office Supplies,Art,Central,78041,Laredo,Texas,9.344,2,1.168
US-2019-435163,2019-01-09,Melanie Seite,Memorex,Memorex Micro Travel Drive 8 GB,Consumer,Technology,Accessories,Central,78041,Laredo,Texas,31.2,3,9.75
US-2019-252362,2019-01-10,Anthony Jacobs,Howard Miller,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Corporate,Furniture,Furnishings,South,22153,Springfield,Virginia,51.94,1,21.2954
US-2019-989408,2019-01-10,Anthony Jacobs,Avery,Avery 482,Corporate,Office Supplies,Labels,South,22153,Springfield,Virginia,2.89,1,1.3583
US-2019-378059,2019-01-11,Seth Vernon,DAX,"DAX Value U-Channel Document Frames, Easel Back",Consumer,Furniture,Furnishings,East,19901,Dover,Delaware,9.94,2,3.0814
US-2019-851768,2019-01-13,Natalie DeCherney,Global,Global Highback Leather Tilter in Burgundy,Consumer,Furniture,Chairs,South,29464,Mount Pleasant,South Carolina,545.94,6,87.3504
US-2019-358408,2019-01-13,Michael Moore,Avery,Avery Metallic Poly Binders,Consumer,Office Supplies,Binders,East,43055,Newark,Ohio,3.438,2,-2.5212
US-2019-437085,2019-01-13,Michael Moore,Xerox,Xerox 1923,Consumer,Office Supplies,Paper,East,43055,Newark,Ohio,37.408,7,13.0928
US-2019-200520,2019-01-13,Brian Dahlen,O'Sullivan,"O'Sullivan Elevations Bookcase, Cherry Finish",Consumer,Furniture,Bookcases,West,94109,San Francisco,California,333.999,3,3.9294
US-2019-521455,2019-01-13,Brian Dahlen,Other,4009 Highlighters by Sanford,Consumer,Office Supplies,Art,West,94109,San Francisco,California,19.9,5,6.567
US-2019-834747,2019-01-13,Brian Dahlen,Tennsco,Tennsco 6- and 18-Compartment Lockers,Consumer,Office Supplies,Storage,West,94109,San Francisco,California,1325.85,5,238.653
US-2019-455060,2019-01-13,Chris Selesnick,3-ring staple pack,3-ring staple pack,Corporate,Office Supplies,Binders,South,71111,Bossier City,Louisiana,5.64,3,2.7072
US-2019-999663,2019-01-13,Chris Selesnick,Other,Brown Kraft Recycled Envelopes,Corporate,Office Supplies,Envelopes,South,71111,Bossier City,Louisiana,50.94,3,25.47
US-2019-803481,2019-01-13,Chris Selesnick,Staple envelope,Staple envelope,Corporate,Office Supplies,Envelopes,South,71111,Bossier City,Louisiana,11.36,2,5.3392
US-2019-365474,2019-01-13,Chris Selesnick,Fellowes,Fellowes Stor/Drawer Steel Plus Storage Drawers,Corporate,Office Supplies,Storage,South,71111,Bossier City,Louisiana,572.58,6,34.3548
US-2019-472846,2019-01-13,Chris Selesnick,Plantronics,Plantronics S12 Corded Telephone Headset System,Corporate,Technology,Accessories,South,71111,Bossier City,Louisiana,646.74,6,258.696
US-2019-390615,2019-01-14,Brendan Sweed,Sauder,Sauder Cornerstone Collection Library,Corporate,Furniture,Bookcases,East,19140,Philadelphia,Pennsylvania,61.96,4,-53.2856
US-2019-527420,2019-01-15,Erica Hackney,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Consumer,Technology,Accessories,South,30076,Roswell,Georgia,149.95,5,65.978
US-2019-493267,2019-01-16,Delfina Latchford,DAX,DAX Black Cherry Wood-Tone Poster Frame,Consumer,Furniture,Furnishings,East,19134,Philadelphia,Pennsylvania,127.104,6,28.5984
US-2019-658146,2019-01-16,Delfina Latchford,GBC,GBC Linen Binding Covers,Consumer,Office Supplies,Binders,East,19134,Philadelphia,Pennsylvania,18.588,2,-13.6312
US-2019-621209,2019-01-16,Delfina Latchford,Other,Round Specialty Laser Printer Labels,Consumer,Office Supplies,Labels,East,19134,Philadelphia,Pennsylvania,30.072,3,10.1493
US-2019-807986,2019-01-16,Delfina Latchford,AT&T,AT&T 841000 Phone,Consumer,Technology,Phones,East,19134,Philadelphia,Pennsylvania,124.2,3,-31.05
US-2019-469294,2019-01-18,David Wiener,Fellowes,Fellowes Mighty 8 Compact Surge Protector,Corporate,Office Supplies,Appliances,West,97477,Springfield,Oregon,64.864,4,6.4864
US-2019-761644,2019-01-19,Toby Swindell,O'Sullivan,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Consumer,Furniture,Bookcases,West,85254,Scottsdale,Arizona,181.47,5,-320.597
US-2019-514610,2019-01-19,Toby Swindell,GBC,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Consumer,Office Supplies,Binders,West,85254,Scottsdale,Arizona,32.34,10,-23.716
US-2019-150133,2019-01-19,Toby Swindell,Tyvek,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,Office Supplies,Envelopes,West,85254,Scottsdale,Arizona,108.72,5,36.693
US-2019-762295,2019-01-19,Toby Swindell,TOPS,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Consumer,Office Supplies,Paper,West,85254,Scottsdale,Arizona,56.064,4,19.6224
US-2019-541606,2019-01-20,Hunter Lopez,Hon,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Consumer,Furniture,Chairs,South,72401,Jonesboro,Arkansas,1067.94,3,224.2674
US-2019-322498,2019-01-20,Hunter Lopez,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Furniture,Furnishings,South,72401,Jonesboro,Arkansas,38.6,4,11.58
US-2019-256339,2019-01-20,Hunter Lopez,Newell,Newell 351,Consumer,Office Supplies,Art,South,72401,Jonesboro,Arkansas,22.96,7,6.6584
US-2019-237267,2019-01-20,Hunter Lopez,Newell,Newell 327,Consumer,Office Supplies,Art,South,72401,Jonesboro,Arkansas,6.63,3,1.7901
US-2019-144692,2019-01-20,Hunter Lopez,Staple envelope,Staple envelope,Consumer,Office Supplies,Envelopes,South,72401,Jonesboro,Arkansas,23.34,3,10.9698
US-2019-578246,2019-01-20,Hunter Lopez,Apple,Apple iPhone 5C,Consumer,Technology,Phones,South,72401,Jonesboro,Arkansas,699.93,7,181.9818
US-2019-894103,2019-01-20,Muhammed MacIntyre,GBC,GBC DocuBind TL200 Manual Binding Machine,Corporate,Office Supplies,Binders,South,37167,Smyrna,Tennessee,67.194,1,-51.5154
US-2019-324737,2019-01-20,Mark Van Huff,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Furniture,Furnishings,West,90049,Los Angeles,California,19.3,2,5.79
US-2019-145493,2019-01-20,Mark Van Huff,Wirebound,"Wirebound Service Call Books, 5 1/2"" x 4""",Consumer,Office Supplies,Paper,West,90049,Los Angeles,California,19.36,2,9.2928
US-2019-677286,2019-01-20,Xylona Preis,Ultra,Ultra Door Push Plate,Consumer,Furniture,Furnishings,Central,48185,Westland,Michigan,14.73,3,4.8609
US-2019-999838,2019-01-20,Xylona Preis,Eldon,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Consumer,Furniture,Furnishings,Central,48185,Westland,Michigan,272.94,3,30.0234
US-2019-727326,2019-01-20,Xylona Preis,Holmes,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Consumer,Office Supplies,Appliances,Central,48185,Westland,Michigan,247.716,4,93.5816
US-2019-956598,2019-01-20,Xylona Preis,Panasonic,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Consumer,Office Supplies,Art,Central,48185,Westland,Michigan,43.92,3,12.7368
US-2019-921900,2019-01-20,Xylona Preis,Acco,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Consumer,Office Supplies,Binders,Central,48185,Westland,Michigan,19.05,5,8.9535
US-2019-973235,2019-01-20,Xylona Preis,Storex,Storex Dura Pro Binders,Consumer,Office Supplies,Binders,Central,48185,Westland,Michigan,29.7,5,13.365
US-2019-352248,2019-01-20,Xylona Preis,Eldon,Eldon Fold 'N Roll Cart System,Consumer,Office Supplies,Storage,Central,48185,Westland,Michigan,13.98,1,4.0542
US-2019-837534,2019-01-20,Xylona Preis,Fellowes,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Consumer,Office Supplies,Storage,Central,48185,Westland,Michigan,66.58,2,15.9792
US-2019-559230,2019-01-21,Tom Boeckenhauer,Ultra,Ultra Door Pull Handle,Consumer,Furniture,Furnishings,South,33180,Miami,Florida,25.248,3,4.1028
US-2019-705690,2019-01-23,Ionia McGrath,Xerox,Xerox 195,Consumer,Office Supplies,Paper,West,89115,Las Vegas,Nevada,40.08,6,19.2384
US-2019-874947,2019-01-23,Speros Goranitis,Alliance,"Alliance Big Bands Rubber Bands, 12/Pack",Consumer,Office Supplies,Fasteners,Central,47905,Lafayette,Indiana,5.94,3,0.0
US-2019-369779,2019-01-26,Shirley Daniels,Eldon,Eldon Image Series Black Desk Accessories,Home Office,Furniture,Furnishings,South,22304,Alexandria,Virginia,12.42,3,4.4712
US-2019-418320,2019-01-26,Shirley Daniels,GE,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Home Office,Furniture,Furnishings,South,22304,Alexandria,Virginia,62.82,3,30.7818
US-2019-390352,2019-01-26,Shirley Daniels,REDIFORM,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Home Office,Office Supplies,Paper,South,22304,Alexandria,Virginia,16.68,2,8.34
US-2019-388995,2019-01-26,Shirley Daniels,Eureka,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Home Office,Office Supplies,Paper,South,22304,Alexandria,Virginia,19.44,3,9.3312
US-2019-602099,2019-01-26,Shirley Daniels,SAFCO,"SAFCO Commercial Wire Shelving, 72h",Home Office,Office Supplies,Storage,South,22304,Alexandria,Virginia,489.92,8,0.0
US-2019-486657,2019-01-26,Shirley Daniels,Jabra,Jabra SPEAK 410,Home Office,Technology,Phones,South,22304,Alexandria,Virginia,187.98,2,52.6344
US-2019-217227,2019-01-26,Shirley Daniels,Other,Macally Suction Cup Mount,Home Office,Technology,Phones,South,22304,Alexandria,Virginia,155.35,13,0.0
US-2019-725793,2019-01-26,Carol Adams,SAFCO,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Corporate,Furniture,Bookcases,Central,57701,Rapid City,South Dakota,141.96,2,39.7488
US-2019-206381,2019-01-26,Carol Adams,Wilson Jones,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Corporate,Office Supplies,Binders,Central,57701,Rapid City,South Dakota,10.68,2,5.0196
US-2019-796566,2019-01-27,Ed Jacobs,Balt,Balt Split Level Computer Training Table,Consumer,Furniture,Tables,West,92037,San Diego,California,333.0,3,-16.65
US-2019-374589,2019-01-27,Ed Jacobs,Dixon,Dixon Ticonderoga Core-Lock Colored Pencils,Consumer,Office Supplies,Art,West,92037,San Diego,California,36.44,4,12.0252
US-2019-708767,2019-01-27,Ed Jacobs,Other,Recycled Steel Personal File for Hanging File Folders,Consumer,Office Supplies,Storage,West,92037,San Diego,California,57.23,1,14.3075
US-2019-621574,2019-01-28,Jasper Cacioppo,Pressboard,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Consumer,Office Supplies,Binders,East,10024,New York City,New York,3.928,1,1.3257
US-2019-998738,2019-01-30,Mike Vittorini,Xerox,Xerox 1972,Consumer,Office Supplies,Paper,Central,48234,Detroit,Michigan,10.56,2,4.752
US-2019-511332,2019-01-30,Mike Vittorini,Space Solutions,Space Solutions HD Industrial Steel Shelving.,Consumer,Office Supplies,Storage,Central,48234,Detroit,Michigan,229.94,2,6.8982
US-2019-463132,2019-01-31,Liz Carlisle,Sauder,"Sauder Facets Collection Library, Sky Alder Finish",Consumer,Furniture,Bookcases,West,92691,Mission Viejo,California,290.666,2,3.4196
US-2019-610804,2019-02-01,Bradley Drucker,Enermax,Enermax Aurora Lite Keyboard,Consumer,Technology,Accessories,Central,54302,Green Bay,Wisconsin,468.9,6,206.316
US-2019-136373,2019-02-01,Cyma Kinney,Other,X-Rack File for Hanging Folders,Corporate,Office Supplies,Storage,South,22204,Arlington,Virginia,56.45,5,14.677
US-2019-873609,2019-02-01,Suzanne McNair,Xerox,Xerox 1883,Corporate,Office Supplies,Paper,West,90036,Los Angeles,California,105.52,4,48.5392
US-2019-526986,2019-02-02,Eric Barreto,Other,Surelock Post Binders,Consumer,Office Supplies,Binders,South,33710,Saint Petersburg,Florida,18.336,2,-12.224
US-2019-198153,2019-02-02,Eric Barreto,AT&T,AT&T 17929 Lendline Telephone,Consumer,Technology,Phones,South,33710,Saint Petersburg,Florida,180.96,5,13.572
US-2019-377714,2019-02-02,Cynthia Delaney,Other,Staples,Home Office,Office Supplies,Fasteners,West,92037,San Diego,California,12.35,5,5.8045
US-2019-573228,2019-02-02,Noel Staavos,Deflect-o,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Corporate,Furniture,Furnishings,Central,77041,Houston,Texas,73.784,2,-77.4732
US-2019-981850,2019-02-02,Adrian Barton,Belkin,"Belkin 19"" Center-Weighted Shelf, Gray",Consumer,Office Supplies,Storage,East,10011,New York City,New York,117.96,2,5.898
US-2019-163918,2019-02-02,Sanjit Engle,Other,Acrylic Self-Standing Desk Frames,Consumer,Furniture,Furnishings,South,22204,Arlington,Virginia,18.69,7,7.1022
US-2019-218516,2019-02-02,Sanjit Engle,Other,Presstex Flexible Ring Binders,Consumer,Office Supplies,Binders,South,22204,Arlington,Virginia,36.4,8,18.2
US-2019-605688,2019-02-02,Sanjit Engle,Hewlett-Packard,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Consumer,Technology,Machines,South,22204,Arlington,Virginia,8749.95,5,2799.984
US-2019-694042,2019-02-03,Tom Boeckenhauer,Avery,Avery Durable Poly Binders,Consumer,Office Supplies,Binders,West,98105,Seattle,Washington,13.272,3,4.3134
US-2019-191168,2019-02-03,Tom Boeckenhauer,Ibico,Ibico Laser Imprintable Binding System Covers,Consumer,Office Supplies,Binders,West,98105,Seattle,Washington,83.84,2,27.248
US-2019-681983,2019-02-03,Liz Carlisle,Hon,Hon Multipurpose Stacking Arm Chairs,Consumer,Furniture,Chairs,South,40475,Richmond,Kentucky,866.4,4,225.264
US-2019-519279,2019-02-04,Mark Haberlin,GBC,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Corporate,Office Supplies,Binders,West,92025,Escondido,California,17.248,2,6.0368
US-2019-628565,2019-02-04,Deborah Brumfield,GBC,GBC Recycled Grain Textured Covers,Home Office,Office Supplies,Binders,West,92024,San Diego,California,82.896,3,29.0136
US-2019-143640,2019-02-04,Deborah Brumfield,Message Book,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Home Office,Office Supplies,Paper,West,92024,San Diego,California,34.24,4,16.0928
US-2019-857064,2019-02-04,Jennifer Braxton,SAFCO,Safco Commercial Shelving,Corporate,Office Supplies,Storage,West,90049,Los Angeles,California,93.02,2,3.7208
US-2019-174602,2019-02-04,Tracy Blumstein,Nu-Dell,Nu-Dell Float Frame 11 x 14 1/2,Consumer,Furniture,Furnishings,West,85635,Sierra Vista,Arizona,14.368,2,3.9512
US-2019-877907,2019-02-04,Maribeth Schnelling,AT&T,AT&T 17929 Lendline Telephone,Consumer,Technology,Phones,East,20852,Rockville,Maryland,90.48,2,23.5248
US-2019-188117,2019-02-05,Annie Zypern,Chromcraft,Chromcraft Round Conference Tables,Consumer,Furniture,Tables,West,92037,San Diego,California,557.728,4,6.9716
US-2019-502969,2019-02-05,Annie Zypern,Avery,Avery 508,Consumer,Office Supplies,Labels,West,92037,San Diego,California,14.73,3,7.2177
US-2019-866615,2019-02-05,Annie Zypern,Fellowes,"Fellowes Mobile File Cart, Black",Consumer,Office Supplies,Storage,West,92037,San Diego,California,186.54,3,50.3658
US-2019-822129,2019-02-05,Annie Zypern,Anker,Anker Astro 15000mAh USB Portable Charger,Consumer,Technology,Phones,West,92037,San Diego,California,159.968,4,-31.9936
US-2019-118732,2019-02-05,Paul Prost,Bush,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Home Office,Furniture,Bookcases,South,30080,Smyrna,Georgia,239.98,2,52.7956
US-2019-512118,2019-02-05,Paul Prost,Eldon,"Eldon 200 Class Desk Accessories, Black",Home Office,Furniture,Furnishings,South,30080,Smyrna,Georgia,18.84,3,7.1592
US-2019-269893,2019-02-05,Paul Prost,Other,Ames Color-File Green Diamond Border X-ray Mailers,Home Office,Office Supplies,Envelopes,South,30080,Smyrna,Georgia,167.96,2,78.9412
US-2019-749568,2019-02-05,Paul Prost,Other,Revere Boxed Rubber Bands by Revere,Home Office,Office Supplies,Fasteners,South,30080,Smyrna,Georgia,9.45,5,0.189
US-2019-314818,2019-02-05,Paul Prost,Other,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Home Office,Office Supplies,Paper,South,30080,Smyrna,Georgia,122.97,3,60.2553
US-2019-302567,2019-02-05,Paul Prost,Other,White Computer Printout Paper by Universal,Home Office,Office Supplies,Paper,South,30080,Smyrna,Georgia,348.84,9,170.9316
US-2019-269805,2019-02-05,Paul Prost,Xerox,Xerox 1943,Home Office,Office Supplies,Paper,South,30080,Smyrna,Georgia,342.37,7,160.9139
US-2019-971224,2019-02-05,Paul Prost,Carina,"Carina 42""Hx23 3/4""W Media Storage Unit",Home Office,Office Supplies,Storage,South,30080,Smyrna,Georgia,80.98,1,1.6196
US-2019-869260,2019-02-05,Paul Prost,Belkin,"Belkin 19"" Vented Equipment Shelf, Black",Home Office,Office Supplies,Storage,South,30080,Smyrna,Georgia,154.44,3,1.5444
US-2019-727786,2019-02-05,Paul Prost,Plantronics,Plantronics Cordless Phone Headset with In-line Volume - M214C,Home Office,Technology,Phones,South,30080,Smyrna,Georgia,104.85,3,28.3095
US-2019-178817,2019-02-05,Paul Prost,Other,Aastra 57i VoIP phone,Home Office,Technology,Phones,South,30080,Smyrna,Georgia,484.83,3,126.0558
US-2019-228111,2019-02-06,Delfina Latchford,Avery,"Avery Flip-Chart Easel Binder, Black",Consumer,Office Supplies,Binders,Central,60441,Romeoville,Illinois,8.952,2,-14.7708
US-2019-512924,2019-02-06,Neil Ducich,Avery,Avery 480,Corporate,Office Supplies,Labels,South,23320,Chesapeake,Virginia,15.0,4,7.2
US-2019-397757,2019-02-06,Neil Ducich,AT&T,AT&T CL82213,Corporate,Technology,Phones,South,23320,Chesapeake,Virginia,144.95,5,42.0355
US-2019-726977,2019-02-06,Neil Ducich,Other,Aastra 57i VoIP phone,Corporate,Technology,Phones,South,23320,Chesapeake,Virginia,161.61,1,42.0186
US-2019-260855,2019-02-06,Karen Bern,Deflect-o,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Corporate,Furniture,Furnishings,South,37421,Chattanooga,Tennessee,132.224,4,-18.1808
US-2019-932949,2019-02-07,Cyma Kinney,Maxell,Maxell DVD-RAM Discs,Corporate,Technology,Accessories,East,7036,Linden,New Jersey,115.36,7,49.6048
US-2019-965272,2019-02-07,Chris Selesnick,Acco,Acco Perma 4000 Stacking Storage Drawers,Corporate,Office Supplies,Storage,East,10024,New York City,New York,64.96,4,9.744
US-2019-870378,2019-02-07,Christina Anderson,Universal,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Consumer,Office Supplies,Labels,South,22153,Springfield,Virginia,7.83,3,3.6018
US-2019-470584,2019-02-07,Christina Anderson,Micro Innovations,Micro Innovations USB RF Wireless Keyboard with Mouse,Consumer,Technology,Accessories,South,22153,Springfield,Virginia,100.0,4,21.0
US-2019-958911,2019-02-07,Erica Bern,Motorola,Motorola L703CM,Corporate,Technology,Phones,West,90049,Los Angeles,California,623.96,5,38.9975
US-2019-780821,2019-02-07,Bobby Elias,Xerox,Xerox 1912,Consumer,Office Supplies,Paper,East,43130,Lancaster,Ohio,30.352,2,10.6232
US-2019-433429,2019-02-08,Nathan Mautz,Master Caster,"Master Caster Door Stop, Large Brown",Home Office,Furniture,Furnishings,West,89031,North Las Vegas,Nevada,14.56,2,5.5328
US-2019-237184,2019-02-08,Cathy Hwang,Samsung,Samsung Galaxy S4 Mini,Home Office,Technology,Phones,South,27604,Raleigh,North Carolina,1127.976,3,126.8973
US-2019-117057,2019-02-08,Mark Haberlin,Other,Harbour Creations Steel Folding Chair,Corporate,Furniture,Chairs,Central,77036,Houston,Texas,241.5,4,0.0
US-2019-812188,2019-02-09,Justin Ritter,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Corporate,Technology,Accessories,West,94110,San Francisco,California,89.97,3,39.5868
US-2019-629349,2019-02-09,Justin Ritter,Maxell,Maxell 4.7GB DVD+RW 3/Pack,Corporate,Technology,Accessories,West,94110,San Francisco,California,31.86,2,11.151
US-2019-676810,2019-02-11,Natalie Fritzler,Hon,Hon 2111 Invitation Series Corner Table,Consumer,Furniture,Tables,South,23320,Chesapeake,Virginia,1256.22,6,75.3732
US-2019-267878,2019-02-11,Natalie Fritzler,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,Consumer,Office Supplies,Binders,South,23320,Chesapeake,Virginia,17.46,2,8.2062
US-2019-968818,2019-02-11,Natalie Fritzler,Enermax,Enermax Aurora Lite Keyboard,Consumer,Technology,Accessories,South,23320,Chesapeake,Virginia,234.45,3,103.158
US-2019-862510,2019-02-11,Guy Armstrong,Global,"Global Value Mid-Back Manager's Chair, Gray",Consumer,Furniture,Chairs,Central,65203,Columbia,Missouri,60.89,1,15.2225
US-2019-301857,2019-02-11,Guy Armstrong,Other,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Consumer,Furniture,Furnishings,Central,65203,Columbia,Missouri,332.94,3,53.2704
US-2019-457084,2019-02-11,Guy Armstrong,Other,VariCap6 Expandable Binder,Consumer,Office Supplies,Binders,Central,65203,Columbia,Missouri,51.9,3,24.393
US-2019-842991,2019-02-11,Guy Armstrong,Wilson Jones,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Consumer,Office Supplies,Binders,Central,65203,Columbia,Missouri,9.64,2,4.4344
US-2019-515843,2019-02-11,Guy Armstrong,Avery,Avery 483,Consumer,Office Supplies,Labels,Central,65203,Columbia,Missouri,14.94,3,6.8724
US-2019-763003,2019-02-11,Guy Armstrong,Fellowes,Fellowes Neat Ideas Storage Cubes,Consumer,Office Supplies,Storage,Central,65203,Columbia,Missouri,64.96,2,2.5984
US-2019-788636,2019-02-11,Phillip Breyer,Other,Mediabridge Sport Armband iPhone 5s,Corporate,Technology,Phones,Central,74133,Tulsa,Oklahoma,69.93,7,0.6993
US-2019-885632,2019-02-12,Sanjit Chand,Global,"Global Geo Office Task Chair, Gray",Consumer,Furniture,Chairs,West,94521,Concord,California,129.568,2,-24.294
US-2019-973355,2019-02-12,John Stevenson,Avery,"Avery Durable Slant Ring Binders, No Labels",Consumer,Office Supplies,Binders,South,30318,Atlanta,Georgia,15.92,4,7.4824
US-2019-472815,2019-02-12,John Stevenson,Tennsco,Tennsco Double-Tier Lockers,Consumer,Office Supplies,Storage,South,30318,Atlanta,Georgia,1350.12,6,175.5156
US-2019-818147,2019-02-13,Ross DeVincentis,Other,Tops Green Bar Computer Printout Paper,Home Office,Office Supplies,Paper,West,90045,Los Angeles,California,146.82,3,73.41
US-2019-846671,2019-02-14,Shui Tom,Other,"Memo Book, 100 Message Capacity, 5 3/8 x 11",Consumer,Office Supplies,Paper,Central,77095,Houston,Texas,16.176,3,6.066
US-2019-959853,2019-02-14,Marina Lichtenstein,Belkin,Belkin 8 Outlet Surge Protector,Corporate,Office Supplies,Appliances,West,98103,Seattle,Washington,81.96,2,22.9488
US-2019-585361,2019-02-14,Marina Lichtenstein,Other,Compact Automatic Electric Letter Opener,Corporate,Office Supplies,Supplies,West,98103,Seattle,Washington,238.62,2,4.7724
US-2019-342378,2019-02-14,Marina Lichtenstein,Logitech,Logitech G600 MMO Gaming Mouse,Corporate,Technology,Accessories,West,98103,Seattle,Washington,239.97,3,86.3892
US-2019-615600,2019-02-14,Dave Kipp,Other,Regeneration Desk Collection,Consumer,Furniture,Furnishings,East,20735,Clinton,Maryland,10.56,6,4.6464
US-2019-422406,2019-02-14,Dave Kipp,Bevis,Bevis Boat-Shaped Conference Table,Consumer,Furniture,Tables,East,20735,Clinton,Maryland,550.431,3,-47.1798
US-2019-342401,2019-02-14,Dave Kipp,Other,Economy #2 Pencils,Consumer,Office Supplies,Art,East,20735,Clinton,Maryland,7.98,3,2.0748
